Topic,Characteristics,Total
Mother tongue,          Fulah (Pular; Pulaar; Fulfulde),5
Mother tongue,          Ga,5
Mother tongue,          Ganda,25
Mother tongue,          Igbo,120
Mother tongue,          Lingala,15
Mother tongue,          Rundi (Kirundi),100
Mother tongue,          Kinyarwanda (Rwanda),45
Mother tongue,          Shona,25
Mother tongue,          Swahili,200
Mother tongue,          Wolof,20
Mother tongue,          Yoruba,160
Mother tongue,          Niger-Congo languages; n.i.e.,165
Mother tongue,        Nilo-Saharan languages,130
Mother tongue,          Dinka,60
Mother tongue,          Nilo-Saharan languages; n.i.e.,70
Mother tongue,        Sign languages,30
Mother tongue,          American Sign Language,10
Mother tongue,          Quebec Sign Language,0
Mother tongue,          Sign languages; n.i.e,25
Mother tongue,        Sino-Tibetan languages,4960
Mother tongue,          Chinese languages,4460
Mother tongue,            Cantonese,1300
Mother tongue,            Hakka,15
Mother tongue,            Mandarin,2670
Mother tongue,            Min Dong,0
Mother tongue,            Min Nan (Chaochow; Teochow; Fukien; Taiwanese),100
Mother tongue,            Wu (Shanghainese),25
Mother tongue,            Chinese; n.o.s.,345
Mother tongue,            Chinese languages; n.i.e.,0
Mother tongue,          Tibeto-Burman languages,500
Mother tongue,            Burmese,50
Mother tongue,            Karenic languages,425
Mother tongue,            Tibetan,5
Mother tongue,            Tibeto-Burman languages; n.i.e.,25
Mother tongue,        Tai-Kadai languages,235
Mother tongue,          Lao,165
Mother tongue,          Thai,70
Mother tongue,          Tai-Kadai languages; n.i.e,0
Mother tongue,        Turkic languages,155
Mother tongue,          Azerbaijani,0
Mother tongue,          Turkish,135
Mother tongue,          Uyghur,0
Mother tongue,          Uzbek,10
Mother tongue,          Turkic languages; n.i.e.,10
Mother tongue,        Uralic languages,435
Mother tongue,          Estonian,5
Mother tongue,          Finnish,25
Mother tongue,          Hungarian,405
Mother tongue,          Uralic languages; n.i.e.,0
Mother tongue,        Other languages; n.i.e.,35
Mother tongue,  Multiple responses,4500
Mother tongue,    English and French,490
Mother tongue,    English and non-official language,3835
Mother tongue,    French and non-official language,90
Mother tongue,    English; French and non-official language,80
Language spoken most often at home,Total - Language spoken most often at home for the total population excluding institutional residents - 100% data,212220
Language spoken most often at home,  Single responses,202735
Language spoken most often at home,    Official languages,182445
Language spoken most often at home,      English,181455
Language spoken most often at home,      French,990
Language spoken most often at home,    Non-official languages,20285
Language spoken most often at home,      Aboriginal languages,45
Language spoken most often at home,        Algonquian languages,40
Language spoken most often at home,          Blackfoot,0
Language spoken most often at home,          Cree-Montagnais languages,30
Language spoken most often at home,            Atikamekw,0
Language spoken most often at home,            Montagnais (Innu),0
Language spoken most often at home,            Moose Cree,0
Language spoken most often at home,            Naskapi,0
Language spoken most often at home,            Northern East Cree,0
Language spoken most often at home,            Plains Cree,5
Language spoken most often at home,            Southern East Cree,0
Language spoken most often at home,            Swampy Cree,5
Language spoken most often at home,            Woods Cree,5
Language spoken most often at home,            Cree; n.o.s.,15
Language spoken most often at home,          Eastern Algonquian languages,0
Language spoken most often at home,            Malecite,0
Language spoken most often at home,            Mi'kmaq,0
Language spoken most often at home,          Ojibway-Potawatomi languages,10
Language spoken most often at home,            Algonquin,0
Language spoken most often at home,            Ojibway,10
Language spoken most often at home,            Oji-Cree,0
Language spoken most often at home,            Ottawa (Odawa),0
Language spoken most often at home,          Algonquian languages; n.i.e.,0
Language spoken most often at home,        Athabaskan languages,0
Language spoken most often at home,          Northern Athabaskan languages,0
Language spoken most often at home,            Babine (Wetsuwet'en),0
Language spoken most often at home,            Beaver,0
Language spoken most often at home,            Carrier,0
Language spoken most often at home,            Chilcotin,0
Language spoken most often at home,            Dene,0
Language spoken most often at home,            Dogrib (Tlicho),0
Language spoken most often at home,            Gwich'in,0
Language spoken most often at home,            Sarsi (Sarcee),0
Language spoken most often at home,            Sekani,0
Language spoken most often at home,            Slavey-Hare languages,0
Language spoken most often at home,              North Slavey (Hare),0
Language spoken most often at home,              South Slavey,0
Language spoken most often at home,              Slavey; n.o.s.,0
Language spoken most often at home,            Tahltan languages,0
Language spoken most often at home,              Kaska (Nahani),0
Language spoken most often at home,              Tahltan,0
Language spoken most often at home,            Tutchone languages,0
Language spoken most often at home,              Northern Tutchone,0
Language spoken most often at home,              Southern Tutchone,0
Language spoken most often at home,          Athabaskan languages; n.i.e.,0
Language spoken most often at home,        Haida,0
Language spoken most often at home,        Inuit languages,0
Language spoken most often at home,          Inuinnaqtun (Inuvialuktun),0
Language spoken most often at home,          Inuktitut,0
Language spoken most often at home,          Inuit languages; n.i.e.,0
Language spoken most often at home,        Iroquoian languages,0
Language spoken most often at home,          Cayuga,0
Language spoken most often at home,          Mohawk,0
Language spoken most often at home,          Oneida,0
Language spoken most often at home,          Iroquoian languages; n.i.e.,0
Language spoken most often at home,        Kutenai,0
Language spoken most often at home,        Michif,0
Language spoken most often at home,        Salish languages,0
Language spoken most often at home,          Comox,0
Language spoken most often at home,          Halkomelem,0
Language spoken most often at home,          Lillooet,0
Language spoken most often at home,          Okanagan,0
Language spoken most often at home,          Shuswap (Secwepemctsin),0
Language spoken most often at home,          Squamish,0
Language spoken most often at home,          Straits,0
Language spoken most often at home,          Thompson (Ntlakapamux),0
Language spoken most often at home,          Salish languages; n.i.e.,0
Language spoken most often at home,        Siouan languages,5
Language spoken most often at home,          Dakota,0
Language spoken most often at home,          Stoney,0
Language spoken most often at home,          Siouan languages; n.i.e.,5
Language spoken most often at home,        Tlingit,0
Language spoken most often at home,        Tsimshian languages,0
Language spoken most often at home,          Gitxsan (Gitksan),0
Language spoken most often at home,          Nisga'a,0
Language spoken most often at home,          Tsimshian,0
Language spoken most often at home,        Wakashan languages,0
Language spoken most often at home,          Haisla,0
Language spoken most often at home,          Heiltsuk,0
Language spoken most often at home,          Kwakiutl (Kwak'wala),0
Language spoken most often at home,          Nuu-chah-nulth (Nootka),0
Language spoken most often at home,          Wakashan languages; n.i.e.,0
Language spoken most often at home,        Aboriginal languages; n.o.s.,0
Language spoken most often at home,      Non-Aboriginal languages,20240
Language spoken most often at home,        Afro-Asiatic languages,1815
Language spoken most often at home,          Berber languages,0
Language spoken most often at home,            Kabyle,0
Language spoken most often at home,            Berber languages; n.i.e.,0
Language spoken most often at home,          Cushitic languages,395
Language spoken most often at home,            Bilen,15
Language spoken most often at home,            Oromo,25
Language spoken most often at home,            Somali,350
Language spoken most often at home,            Cushitic languages; n.i.e.,5
Language spoken most often at home,          Semitic languages,1425
Language spoken most often at home,            Amharic,70
Language spoken most often at home,            Arabic,1140
Language spoken most often at home,            Assyrian Neo-Aramaic,15
Language spoken most often at home,            Chaldean Neo-Aramaic,0
Language spoken most often at home,            Harari,0
Language spoken most often at home,            Hebrew,10
Language spoken most often at home,            Maltese,0
Language spoken most often at home,            Tigrigna,190
Language spoken most often at home,            Semitic languages; n.i.e.,5
Language spoken most often at home,          Afro-Asiatic languages; n.i.e.,0
Language spoken most often at home,        Austro-Asiatic languages,860
Language spoken most often at home,          Khmer (Cambodian),20
Language spoken most often at home,          Vietnamese,840
Language spoken most often at home,          Austro-Asiatic languages; n.i.e,0
Language spoken most often at home,        Austronesian languages,3600
Language spoken most often at home,          Bikol,0
Language spoken most often at home,          Cebuano,205
Language spoken most often at home,          Fijian,0
Language spoken most often at home,          Hiligaynon,30
Language spoken most often at home,          Ilocano,100
Language spoken most often at home,          Malagasy,0
Language spoken most often at home,          Malay,0
Language spoken most often at home,          Pampangan (Kapampangan; Pampango),25
Language spoken most often at home,          Pangasinan,5
Language spoken most often at home,          Tagalog (Pilipino; Filipino),3200
Language spoken most often at home,          Waray-Waray,5
Language spoken most often at home,          Austronesian languages; n.i.e.,30
Language spoken most often at home,        Creole languages,35
Language spoken most often at home,          Haitian Creole,5
Language spoken most often at home,          Creole; n.o.s.,20
Language spoken most often at home,          Creole languages; n.i.e.,15
Language spoken most often at home,        Dravidian languages,355
Language spoken most often at home,          Kannada,5
Language spoken most often at home,          Malayalam,185
Language spoken most often at home,          Tamil,80
Language spoken most often at home,          Telugu,85
Language spoken most often at home,          Dravidian languages; n.i.e.,0
Language spoken most often at home,        Hmong-Mien languages,0
Language spoken most often at home,        Indo-European languages,8830
Language spoken most often at home,          Albanian,110
Language spoken most often at home,          Armenian,5
Language spoken most often at home,          Balto-Slavic languages,1370
Language spoken most often at home,            Baltic languages,15
Language spoken most often at home,              Latvian,5
Language spoken most often at home,              Lithuanian,15
Language spoken most often at home,            Slavic languages,1355
Language spoken most often at home,              Belarusan,0
Language spoken most often at home,              Bosnian,15
Language spoken most often at home,              Bulgarian,15
Language spoken most often at home,              Croatian,75
Language spoken most often at home,              Czech,10
Language spoken most often at home,              Macedonian,0
Language spoken most often at home,              Polish,135
Language spoken most often at home,              Russian,695
Language spoken most often at home,              Serbian,50
Language spoken most often at home,              Serbo-Croatian,5
Language spoken most often at home,              Slovak,5
Language spoken most often at home,              Slovene (Slovenian),0
Language spoken most often at home,              Ukrainian,345
Language spoken most often at home,              Slavic languages; n.i.e.,0
Language spoken most often at home,          Celtic languages,0
Language spoken most often at home,            Scottish Gaelic,0
Language spoken most often at home,            Welsh,0
Language spoken most often at home,            Celtic languages; n.i.e.,0
Language spoken most often at home,          Germanic languages,230
Language spoken most often at home,            Afrikaans,60
Language spoken most often at home,            Danish,0
Language spoken most often at home,            Dutch,15
Language spoken most often at home,            Frisian,0
Language spoken most often at home,            German,145
Language spoken most often at home,            Icelandic,0
Language spoken most often at home,            Norwegian,0
Language spoken most often at home,            Swedish,0
Language spoken most often at home,            Vlaams (Flemish),0
Language spoken most often at home,            Yiddish,5
Language spoken most often at home,            Germanic languages; n.i.e.,0
Language spoken most often at home,          Greek,225
Language spoken most often at home,          Indo-Iranian languages,6070
Language spoken most often at home,            Indo-Aryan languages,5545
Language spoken most often at home,              Bengali,675
Language spoken most often at home,              Gujarati,735
Language spoken most often at home,              Hindi,430
Language spoken most often at home,              Kashmiri,5
Language spoken most often at home,              Konkani,5
Language spoken most often at home,              Marathi,25
Language spoken most often at home,              Nepali,320
Language spoken most often at home,              Oriya (Odia),0
Language spoken most often at home,              Punjabi (Panjabi),1610
Language spoken most often at home,              Sindhi,5
Language spoken most often at home,              Sinhala (Sinhalese),25
Language spoken most often at home,              Urdu,1720
Language spoken most often at home,            Iranian languages,465
Language spoken most often at home,              Kurdish,25
Language spoken most often at home,              Pashto,140
Language spoken most often at home,              Persian (Farsi),305
Language spoken most often at home,            Indo-Iranian languages; n.i.e.,60
Language spoken most often at home,          Italic (Romance) languages,815
Language spoken most often at home,            Catalan,0
Language spoken most often at home,            Italian,90
Language spoken most often at home,            Portuguese,65
Language spoken most often at home,            Romanian,70
Language spoken most often at home,            Spanish,585
Language spoken most often at home,            Italic (Romance) languages; n.i.e.,0
Language spoken most often at home,        Japanese,35
Language spoken most often at home,        Kartvelian languages,0
Language spoken most often at home,          Georgian,0
Language spoken most often at home,        Korean,390
Language spoken most often at home,        Mongolic languages,0
Language spoken most often at home,          Mongolian,0
Language spoken most often at home,        Niger-Congo languages,370
Language spoken most often at home,          Akan (Twi),20
Language spoken most often at home,          Bamanankan,0
Language spoken most often at home,          Edo,10
Language spoken most often at home,          Ewe,5
Language spoken most often at home,          Fulah (Pular; Pulaar; Fulfulde),10
Language spoken most often at home,          Ga,0
Language spoken most often at home,          Ganda,5
Language spoken most often at home,          Igbo,30
Language spoken most often at home,          Lingala,5
Language spoken most often at home,          Rundi (Kirundi),75
Language spoken most often at home,          Kinyarwanda (Rwanda),20
Language spoken most often at home,          Shona,10
Language spoken most often at home,          Swahili,110
Language spoken most often at home,          Wolof,0
Language spoken most often at home,          Yoruba,35
Language spoken most often at home,          Niger-Congo languages; n.i.e.,35
Language spoken most often at home,        Nilo-Saharan languages,65
Language spoken most often at home,          Dinka,35
Language spoken most often at home,          Nilo-Saharan languages; n.i.e.,30
Language spoken most often at home,        Sign languages,50
Language spoken most often at home,          American Sign Language,5
Language spoken most often at home,          Quebec Sign Language,0
Language spoken most often at home,          Sign languages; n.i.e,40
Language spoken most often at home,        Sino-Tibetan languages,3565
Language spoken most often at home,          Chinese languages,3215
Language spoken most often at home,            Cantonese,820
Language spoken most often at home,            Hakka,0
Language spoken most often at home,            Mandarin,2085
Language spoken most often at home,            Min Dong,0
Language spoken most often at home,            Min Nan (Chaochow; Teochow; Fukien; Taiwanese),40
Language spoken most often at home,            Wu (Shanghainese),10
Language spoken most often at home,            Chinese; n.o.s.,265
Language spoken most often at home,            Chinese languages; n.i.e.,0
Language spoken most often at home,          Tibeto-Burman languages,345
Language spoken most often at home,            Burmese,35
Language spoken most often at home,            Karenic languages,310
Language spoken most often at home,            Tibetan,0
Language spoken most often at home,            Tibeto-Burman languages; n.i.e.,0
Language spoken most often at home,        Tai-Kadai languages,90
Language spoken most often at home,          Lao,60
Language spoken most often at home,          Thai,30
Language spoken most often at home,          Tai-Kadai languages; n.i.e,0
Language spoken most often at home,        Turkic languages,100
Language spoken most often at home,          Azerbaijani,0
Language spoken most often at home,          Turkish,95
Language spoken most often at home,          Uyghur,0
Language spoken most often at home,          Uzbek,5
Language spoken most often at home,          Turkic languages; n.i.e.,0
Language spoken most often at home,        Uralic languages,60
Language spoken most often at home,          Estonian,0
Language spoken most often at home,          Finnish,0
Language spoken most often at home,          Hungarian,60
Language spoken most often at home,          Uralic languages; n.i.e.,0
Language spoken most often at home,        Other languages; n.i.e.,20
Language spoken most often at home,  Multiple responses,9485
Language spoken most often at home,    English and French,295
Language spoken most often at home,    English and non-official language,8965
Language spoken most often at home,    French and non-official language,50
Language spoken most often at home,    English; French and non-official language,175
Other language spoken regularly at home,Total - Other language(s) spoken regularly at home for the total population excluding institutional residents - 100% data,212220
Other language spoken regularly at home,  None,189990
Other language spoken regularly at home,  English,9520
Other language spoken regularly at home,  French,2255
Other language spoken regularly at home,  Non-official language,9885
Other language spoken regularly at home,    Aboriginal,350
Other language spoken regularly at home,    Non-Aboriginal,9530
Other language spoken regularly at home,  English and French,65
Other language spoken regularly at home,  English and non-official language,340
Other language spoken regularly at home,  French and non-official language,155
Other language spoken regularly at home,  English; French and non-official language,10
Income of individuals in 2015,Total - Income statistics in 2015 for the population aged 15 years and over in private households - 100% data,171765
Income of individuals in 2015,  Number of total income recipients aged 15 years and over in private households - 100% data,165200
Income of individuals in 2015,    Median total income in 2015 among recipients ($),42661
Income of individuals in 2015,  Number of after-tax income recipients aged 15 years and over in private households - 100% data,165220
Income of individuals in 2015,    Median after-tax income in 2015 among recipients ($),37791
Income of individuals in 2015,  Number of market income recipients aged 15 years and over in private households - 100% data,152565
Income of individuals in 2015,    Median market income in 2015 among recipients ($),41662
Income of individuals in 2015,  Number of government transfers recipients aged 15 years and over in private households - 100% data,106520
Income of individuals in 2015,    Median government transfers in 2015 among recipients ($),4082
Income of individuals in 2015,  Number of employment income recipients aged 15 years and over in private households - 100% data,130160
Income of individuals in 2015,    Median employment income in 2015 among recipients ($),42546
Income of individuals in 2015,Total - Income statistics in 2015 for the population aged 15 years and over in private households - 25% sample data,171825
Income of individuals in 2015,  Number of total income recipients aged 15 years and over in private households - 25% sample data,165175
Income of individuals in 2015,    Average total income in 2015 among recipients ($),53399
Income of individuals in 2015,  Number of after-tax income recipients aged 15 years and over in private households - 25% sample data,165185
Income of individuals in 2015,    Average after-tax income in 2015 among recipients ($),43821
Income of individuals in 2015,  Number of market income recipients aged 15 years and over in private households - 25% sample data,152685
